,id,premise,hypothesis,correct_label,explanation_original,prediction_1_score,Correct explanation_1?,explanation-label_original,prediction_2_score,Correct explanation_2? ,explanation_custom,prediction_3_score,Correct explanation_3?,explanation-label_custom,prediction_4_score,Correct explanation_4? ,explanation-original_neural_score,explanation-original_rouge_1_max,explanation-original_rouge_2_max,explanation-original_rouge_L_max,label-explanation-original_neural_score,label-explanation-original_rouge_1_max,label-explanation-original_rouge_2_max,label-explanation-original_rouge_L_max,label-explanation-original_correct_label?,label-explanation-original_label_difference,explanation-custom_neural_score,explanation-custom_rouge_1_max,explanation-custom_rouge_2_max,explanation-custom_rouge_L_max,label-explanation-custom_neural_score,label-explanation-custom_rouge_1_max,label-explanation-custom_rouge_2_max,label-explanation-custom_rouge_L_max,label-explanation-custom_correct_label?,label-explanation-custom_label_difference,
7459,259,A person in orange clothing rests above a metro entrance.,A person is waiting for a train.,neutral,Just because a person rests above a metro entrance does not mean they are waiting for a train.,2,1,neutral: Resting above a metro entrance does not imply waiting for a train.,2,1,Resting above a metro entrance does not imply waiting for a train.,2,1,neutral: Resting above a metro entrance does not imply waiting for a train.,2,1,0.162237186,0.705882353,0.5625,0.705882353,0.16866266,0.72,0.608695652,0.72,TRUE," predicted: neutral, target: neutral",0.240506238,0.75,0.636363636,0.75,0.168662599,0.72,0.608695652,0.72,TRUE," predicted: neutral, target: neutral",
6326,602,The little boy gets ready to kick the soccer ball.,the boy is sleeping at home,contradiction,The boy cannot be sleeping and getting ready to kick the soccer ball at the same time.,5,1,contradiction: The boy cannot be sleeping and getting ready to kick the soccer ball at the same time.,5,1,The boy cannot kick the soccer ball and be sleeping at home at the same time.,4,1,contradiction: The boy cannot kick the soccer ball and be sleeping at the same time.,4,1,0.138842453,0.689655172,0.466666667,0.625,0.127145403,0.666666667,0.451612903,0.606060606,TRUE," predicted: contradiction, target: contradiction",0.200840991,0.785714286,0.384615385,0.642857143,0.138306763,0.740740741,0.32,0.592592593,TRUE," predicted: contradiction, target: contradiction",
7302,1122,Kids play in water coming up in streams out of a tiled floor with an image of a large rose on it.,Kids are playing in water.,entailment,Kids are playing in water is a rephrasing of kids play in water coming up in streams out of a tiled floor with an image of a large rose on it.,1,1,entailment: Kids are playing in water is a rephrasing of kids play in water coming up in streams out of a tiled floor with an image of a large rose on it.,1,1,Playing in water is a rephrasing of play in water coming up in streams out of a tiled floor with an image of a large rose on it.,1,1,entailment: Kids are playing in water is a rephrasing of kids play in water coming up in streams out of a tiled floor with an image of a large rose on it.,1,1,0.16187558,0.708333333,0.652173913,0.5,0.161489001,0.693877551,0.638297872,0.489795918,TRUE," predicted: entailment, target: entailment",0.089546072,0.622222222,0.511627907,0.444444444,0.161489001,0.693877551,0.638297872,0.489795918,TRUE," predicted: entailment, target: entailment",
7113,1127,A woman with short blond-hair rises from a chair as another woman in a burgundy shirt laughs.,A woman is getting ready to box,neutral,Just because a woman rises from a chair does not mean she is getting ready to box.,3,1,neutral: A woman with short blond-hair rises from a chair as another woman in a burgundy shirt laughs does not indicate that she is getting ready to box,2,1,A woman with short blond-hair rises from a chair as another woman in a burgundy shirt laughs does not indicate that she is getting ready to box,2,1,contradiction: A woman who rises from a chair is not getting ready to box.,1,0,0.217230771,0.685714286,0.484848485,0.685714286,0.153773503,0.814814815,0.692307692,0.814814815,TRUE," predicted: neutral, target: neutral",0.160417768,0.830188679,0.705882353,0.830188679,0.127004521,0.5625,0.4,0.5625,FALSE," predicted: contradiction, target: neutral",
7409,1155,Man in red jacket is opening the door while holding his car keys.,The man was holding the door for his girlfreind,neutral,Just because the man is opening the door does not mean he is holding the door for his girlfreind.,5,1,neutral: Just because a man is opening the door while holding his car keys does not mean he is holding the door for his girlfreind.,5,1,Just because the man is opening the door does not mean he is holding the door for his girlfreind.,5,1,neutral: Just because the man is opening the door does not mean he is holding the door for his girlfreind.,5,1,0.241614839,0.685714286,0.52,0.685714286,0.166150909,0.793103448,0.75,0.793103448,TRUE," predicted: neutral, target: neutral",0.241614782,0.685714286,0.52,0.685714286,0.232763676,0.666666667,0.509803922,0.666666667,TRUE," predicted: neutral, target: neutral",
9036,1228,A young man holds a hammer shaped object in the air with one hand and a similar shaped object in the other while making a funny expression.,A person is holding a tool.,entailment,"A young man is a person, and a hammer is a tool.",3,1,entailment: A hammer is a tool.,3,1,"A young man is a person, and a hammer is a tool.",3,1,"entailment: A young man is a person, and a hammer is a tool.",3,1,0.360600922,0.909090909,0.7,0.909090909,0.278592072,0.909090909,0.888888889,0.909090909,TRUE," predicted: entailment, target: entailment",0.360600922,0.909090909,0.7,0.909090909,0.299750047,0.869565217,0.666666667,0.869565217,TRUE," predicted: entailment, target: entailment",
5170,1292,The pitcher is pitching the ball in a game of baseball.,The pitcher throws the ball.,entailment,The pitcher is pitching the ball is a rephrasing of the pitcher throws the ball.,5,1,entailment: The pitcher is pitching the ball is a rephrasing of the pitcher throws the ball.,5,1,The pitcher throws the ball because he is pitching the ball.,4,1,entailment: Pitching the ball is a rephrasing of throws the ball.,5,1,0.097362539,0.685714286,0.424242424,0.628571429,0.098557132,0.666666667,0.411764706,0.611111111,TRUE," predicted: entailment, target: entailment",0.079731549,0.580645161,0.5,0.555555556,0.050329717,0.516129032,0.344827586,0.451612903,TRUE," predicted: entailment, target: entailment",
3583,1612,Bicyclist ride the course near the ocean as the day comes to an end.,The cyclist was riding in the morning.,contradiction,The cyclist cannot be riding in the morning and as the day comes to an end at the same time.,5,1,contradiction: The cyclist cannot be riding in the morning and as the day comes to an end at the same time.,5,1,The cyclist can't be riding in the morning and as the day comes to an end at the same time.,5,1,contradiction: The cyclist cannot be riding in the morning and as the day comes to an end at the same time.,5,1,0.06713727,0.580645161,0.413793103,0.529411765,0.069153274,0.5625,0.4,0.514285714,TRUE," predicted: contradiction, target: contradiction",0.064890626,0.5625,0.4,0.514285714,0.069153274,0.5625,0.4,0.514285714,TRUE," predicted: contradiction, target: contradiction",
1881,1865,Man chopping wood with an axe.,The man is outside.,entailment,A man chopping wood with an axe must be outside.,3,1,neutral: Just because a man is chopping wood with an axe does not mean he is outside.,1,0,A man chopping wood with an axe must be outside.,3,1,neutral: Just because a man is chopping wood with an axe does not mean he is outside.,1,0,0.08548715,0.5,0.333333333,0.428571429,0.042239806,0.285714286,0.105263158,0.285714286,FALSE," predicted: neutral, target: entailment",0.08548715,0.5,0.333333333,0.428571429,0.042239806,0.285714286,0.105263158,0.285714286,FALSE," predicted: neutral, target: entailment",
3915,2424,A guy gettin lots of air on a skateboard at a skatepark,A guy riding a skateboard.,entailment,Riding a skateboard is a rephrasing of gettin lots of air on a skateboard.,3,0,entailment: A guy getting lots of air on a skateboard is riding a skateboard.,5,1,A guy getting lots of air on a skateboard is riding a skateboard.,4,1,entailment: Getting lots of air on a skateboard implies riding a skateboard.,4,1,0.102656119,0.642857143,0.538461538,0.538461538,0.074794769,0.769230769,0.615384615,0.714285714,TRUE," predicted: entailment, target: entailment",0.062894766,0.8,0.64,0.740740741,0.127533009,0.846153846,0.75,0.846153846,TRUE," predicted: entailment, target: entailment",
